Title|URL
1, 2, 3: Enterprise Campus Wired Design Fundamentals [BRKENS-1501] | https://www.ciscolive.com/c/dam/r/ciscolive/global-event/docs/2023/pdf/BRKENS-1501.pdf
7 Tricks to Succeed as a Wireless Rockstar [BRKEWN-1742] | https://www.ciscolive.com/c/dam/r/ciscolive/global-event/docs/2023/pdf/BRKEWN-1742.pdf
Accelerate your SOC with Cisco XDR [BRKSEC-1023] | https://www.ciscolive.com/c/dam/r/ciscolive/global-event/docs/2023/pdf/BRKSEC-1023.pdf
Achieving Faster Delivery, Simplified Operations, and Continuous Optimisation with Intersight [BRKCLD-1666] | https://www.ciscolive.com/c/dam/r/ciscolive/global-event/docs/2023/pdf/BRKCLD-1666.pdf
ACI Multi-Site Architecture and Deployment [BRKDCN-2980] | https://www.ciscolive.com/c/dam/r/ciscolive/global-event/docs/2023/pdf/BRKDCN-2980.pdf
ACI: The Foundation of an Internal Private Cloud [BRKDCN-2984] | https://www.ciscolive.com/c/dam/r/ciscolive/global-event/docs/2023/pdf/BRKDCN-2984.pdf
A Client Perspective on Wireless Network Design for Demanding Applications [BRKEWN-2926] | https://www.ciscolive.com/c/dam/r/ciscolive/global-event/docs/2023/pdf/BRKEWN-2926.pdf
A Common Policy for Network Agility and Security: The Unified Meraki Approach [BRKMER-2234] | https://www.ciscolive.com/c/dam/r/ciscolive/global-event/docs/2023/pdf/BRKMER-2234.pdf
A Guide to a Successful Segment Routing Deployment [BRKSPG-2510] | https://www.ciscolive.com/c/dam/r/ciscolive/global-event/docs/2023/pdf/BRKSPG-2510.pdf
A Network Engineer's Blueprint for ACI Forwarding [BRKDCN-3900] | https://www.ciscolive.com/c/dam/r/ciscolive/global-event/docs/2023/pdf/BRKDCN-3900.pdf
Application Security in the Cloud Native world [BRKSEC-1139] | https://www.ciscolive.com/c/dam/r/ciscolive/global-event/docs/2023/pdf/BRKSEC-1139.pdf
Architecting Hybrid Multicloud Infrastructures [BRKDCN-2616] | https://www.ciscolive.com/c/dam/r/ciscolive/global-event/docs/2023/pdf/BRKDCN-2616.pdf
Architecting L4-L7 Network Services in a Multi-tenant Data Centre with VXLAN EVPN [BRKDCN-2974] | https://www.ciscolive.com/c/dam/r/ciscolive/global-event/docs/2023/pdf/BRKDCN-2974.pdf
Architecting Next Generation Wireless Networks with Cisco Catalyst Wi-Fi 6E Access Points [BRKEWN-2024] | https://www.ciscolive.com/c/dam/r/ciscolive/global-event/docs/2023/pdf/BRKEWN-2024.pdf
Authentication, Authorization and Provision for Cisco Collaboration [BRKCOL-2007] | https://www.ciscolive.com/c/dam/r/ciscolive/global-event/docs/2023/pdf/BRKCOL-2007.pdf
Authentication in a New Era - Enhanced with Identity Detection & Response [BRKSEC-2076] | https://www.ciscolive.com/c/dam/r/ciscolive/global-event/docs/2023/pdf/BRKSEC-2076.pdf
Automating Network Changes with Cisco Crosswork Workflow Manager [BRKSPG-1242] | https://www.ciscolive.com/c/dam/r/ciscolive/global-event/docs/2023/pdf/BRKSPG-1242.pdf
